rank,dpto5,departamento,provincia,mca_cluster_label,eci_software,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,pob_2022,pct_nbi_2010,pct_jefe_sec_2010,pct_pc_2010,rad_2014,pob_2010,tasa_empleo_2010
30,90084,Capital,Tucumán,Metropolitan-Diversified,1.091052784943383,17,41.411764705882355,615.0,7476.0,587289.0,9.646911738016978,48.22514838041849,44.5342904962594,56.044347361281574,548866.0,67.421982
31,06357,General Pueyrredón,Buenos Aires,Metropolitan-Core,1.0773976311411932,27,40.18518518518518,1397.0,17212.0,660569.0,4.6688656491606055,45.997502311791564,52.39473006854343,59.96251983811281,618989.0,75.074212
32,10049,Capital,Catamarca,Metropolitan-Diversified,1.0381829970806706,17,39.94117647058823,173.0,1984.0,186466.0,8.623355615291292,51.30956062516355,47.610438423293765,60.86246571909506,159703.0,72.354992
33,14182,Unión,Córdoba,Metropolitan-Core,1.0266503741297333,20,46.7,75.0,852.0,113635.0,4.707375465112925,32.637226340534774,45.70942340419395,24.281449720886766,105727.0,72.60134
34,06497,Luján,Buenos Aires,Metropolitan-Core,1.009490016288074,17,42.1764705882353,42.0,324.0,110111.0,6.078588119542491,38.80211536096421,49.62181773459599,27.663178847286115,106273.0,77.829555
35,58035,Confluencia,Neuquén,Metropolitan-Diversified,1.0094805078049442,28,42.892857142857146,242.0,2283.0,467217.0,8.967715871566078,43.612555329164614,56.59910068151479,73.86160526137145,362673.0,72.918146
36,06756,San Isidro,Buenos Aires,Metropolitan-Core,0.9774000918830841,22,41.59090909090909,77.0,751.0,295978.0,3.656918313394299,63.15719091068067,69.22633804120848,80.23542781895654,292878.0,79.116071
37,66028,Capital,Salta,Metropolitan-Diversified,0.964803722160276,25,42.12,786.0,8144.0,624003.0,12.758394160583942,48.83649635036496,44.66131386861314,60.53966728926631,536113.0,70.916623
38,06434,Lanús,Buenos Aires,Metropolitan-Core,0.9432759314820791,16,47.25,69.0,847.0,460081.0,4.958086554273567,40.316456542374695,51.917189192079896,82.2036421170311,459263.0,75.623689
39,06693,Roque Pérez,Buenos Aires,Pampeana-Educated,0.9365181656185287,5,49.0,3.0,24.0,13901.0,4.912689173457509,22.235157159487777,41.722933643771825,11.013932246922476,12513.0,74.806309
40,06274,Florencio Varela,Buenos Aires,Intermediate-Urban,0.9335267240521855,13,45.23076923076923,64.0,542.0,488103.0,17.021257789366686,22.724179078092543,36.14708092102356,55.68799986094562,426005.0,71.039419
41,06490,Lomas de Zamora,Buenos Aires,Metropolitan-Diversified,0.9141017717826769,22,42.04545454545455,187.0,1615.0,685644.0,8.914236089047044,38.31575268475567,46.56118277520069,87.06231054138729,616279.0,75.239343
42,54007,Apóstoles,Misiones,Peripheral-Deprived,0.9089545239494636,19,44.89473684210526,18.0,219.0,50503.0,19.946348217376254,26.635514018691588,26.194184839044652,12.94452478035724,42249.0,61.464467
43,82021,Castellanos,Santa Fe,Metropolitan-Core,0.9062195669538694,23,43.08695652173913,238.0,2276.0,189464.0,5.084865629420085,33.7022630834512,47.6944837340877,47.42107531525643,178092.0,78.002612
44,06568,Morón,Buenos Aires,Metropolitan-Core,0.90485011641864,23,43.82608695652174,84.0,665.0,329517.0,3.522852706216909,52.016800434042395,59.34687844942096,77.65702667959427,321109.0,77.225327
45,54028,Capital,Misiones,Metropolitan-Diversified,0.9042695482175325,24,43.416666666666664,518.0,5684.0,391498.0,11.828823024054984,44.503865979381445,41.937285223367695,41.62661559363488,324756.0,69.926869
