dpto5,departamento,gh_total_repos,gh_total_developers,eci_software,geo_repos,geo_devs,repos_match,devs_match
70049,Iglesia,0.0,0.0,,0.0,0,True,True
70112,Ullum,0.0,0.0,,0.0,0,True,True
70119,Valle Fértil,0.0,0.0,,0.0,0,True,True
18028,Concepción,0.0,0.0,,0.0,0,True,True
70133,Zonda,0.0,0.0,,0.0,0,True,True
74007,Ayacucho,0.0,0.0,,0.0,0,True,True
74021,Coronel Pringles,0.0,0.0,,0.0,0,True,True
74042,Gobernador Dupuy,0.0,0.0,,0.0,0,True,True
22036,12 de Octubre,7.0,2.0,,7.0,2,True,True
14133,San Javier,2.0,1.0,,2.0,1,True,True
78028,Lago Argentino,0.0,1.0,,0.0,1,True,True
78042,Magallanes,0.0,0.0,,0.0,0,True,True
34021,Laishi,0.0,0.0,,0.0,0,True,True
14154,Sobremonte,0.0,0.0,,0.0,0,True,True
26042,Gaiman,105.0,9.0,0.1643312675668603,105.0,9,True,True
14168,Totoral,0.0,0.0,,0.0,0,True,True
14175,Tulumba,0.0,0.0,,0.0,0,True,True
82098,San Javier,0.0,0.0,,0.0,0,True,True
86014,Alberdi,0.0,0.0,,0.0,0,True,True
86021,Atamisqui,0.0,0.0,,0.0,0,True,True
86042,Belgrano,0.0,0.0,,0.0,0,True,True
18014,Berón de Astrada,0.0,0.0,,0.0,0,True,True
50042,La Paz,0.0,0.0,,0.0,0,True,True
86056,Copo,0.0,0.0,,0.0,0,True,True
18042,Empedrado,0.0,0.0,,0.0,0,True,True
18077,Itatí,0.0,0.0,,0.0,0,True,True
74014,Belgrano,0.0,0.0,,0.0,0,True,True
18098,Mburucuyá,5.0,1.0,,5.0,1,True,True
74028,Chacabuco,0.0,0.0,,0.0,0,True,True
74063,Libertador General San Martín,0.0,0.0,,0.0,0,True,True
54014,Cainguás,22.0,4.0,-2.0506145084983083,22.0,4,True,True
86182,Sarmiento,0.0,0.0,,0.0,0,True,True
78049,Río Chico,0.0,0.0,,0.0,0,True,True
18105,Mercedes,27.0,9.0,,27.0,9,True,True
18112,Monte Caseros,7.0,3.0,,7.0,3,True,True
