dpto5,Departamento,Provincia,ECI_individual,Rank_individual,ECI_bundle,Rank_bundle,Rank_change
06525,Marcos Paz,Buenos Aires,0.2219,96,0.5033,78,18
30021,Diamante,Entre Ríos,0.2174,97,-0.2057,135,-38
14140,San Justo,Córdoba,0.2146,98,0.5820,66,32
30028,Federación,Entre Ríos,0.2083,99,0.6805,63,36
50021,Godoy Cruz,Mendoza,0.2069,100,-0.7598,169,-69
38094,Tilcara,Jujuy,0.2044,101,0.5804,67,34
06840,Tres de Febrero,Buenos Aires,0.1842,102,0.5700,70,32
26042,Gaiman,Chubut,0.1643,103,0.1067,121,-18
06147,Carlos Casares,Buenos Aires,0.1643,104,-0.2830,138,-34
06280,General Alvarado,Buenos Aires,0.1629,105,0.4041,84,21
06882,Zárate,Buenos Aires,0.1277,106,0.1145,120,-14
06686,Rojas,Buenos Aires,0.1044,107,0.1883,111,-4
06119,Brandsen,Buenos Aires,0.1015,108,0.3206,95,13
06371,General San Martín,Buenos Aires,0.0905,109,0.4541,80,29
06560,Moreno,Buenos Aires,0.0830,110,0.1394,117,-7
06826,Trenque Lauquen,Buenos Aires,0.0680,111,0.1207,119,-8
06252,Escobar,Buenos Aires,0.0551,112,0.5375,74,38
54091,Oberá,Misiones,0.0509,113,0.1504,116,-3
06161,Carmen de Areco,Buenos Aires,0.0019,114,0.2048,107,7
54119,25 de Mayo,Misiones,-0.0078,115,0.1505,115,0
06224,Chivilcoy,Buenos Aires,-0.0081,116,0.5682,71,45
06182,Coronel de Marina Leonardo Rosales,Buenos Aires,-0.0155,117,0.3543,90,27
06833,Tres Arroyos,Buenos Aires,-0.0442,118,-0.4477,149,-31
14084,Presidente Roque Sáenz Peña,Córdoba,-0.0586,119,-0.2489,137,-18
06412,José C. Paz,Buenos Aires,-0.0599,120,0.2884,96,24
14028,Cruz del Eje,Córdoba,-0.0602,121,-0.1044,130,-9
06648,Presidente Perón,Buenos Aires,-0.0746,122,-0.0258,126,-4
06175,Colón,Buenos Aires,-0.0762,123,-0.1463,132,-9
30091,Tala,Entre Ríos,-0.1009,124,-0.1736,133,-9
06553,Monte Hermoso,Buenos Aires,-0.1077,125,0.1993,110,15
06070,Baradero,Buenos Aires,-0.1298,126,-0.6748,165,-39
06728,San Andrés de Giles,Buenos Aires,-0.1370,127,-0.8600,179,-52
06700,Saavedra,Buenos Aires,-0.1459,128,0.2534,98,30
22168,25 de Mayo,Chaco,-0.1833,129,-1.3835,198,-69
50028,Guaymallén,Mendoza,-0.1923,130,-0.0385,128,2
06770,San Pedro,Buenos Aires,-0.2105,131,-0.0185,125,6
06665,Ramallo,Buenos Aires,-0.2295,132,0.3466,93,39
06245,Ensenada,Buenos Aires,-0.2423,133,0.1860,114,19
