rank_old,dpto5,departamento,provincia,eci_software_old,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,pob_2022,eci_software_new,rank_new,rank_change
52,06638,Pilar,Buenos Aires,0.8274041151145235,25,46.8,135.0,1410.0,393614.0,0.8356716181744303,52,0
53,30008,Colón,Entre Ríos,0.8080435441959669,16,45.8125,17.0,252.0,74890.0,0.8143521759324609,53,0
54,06035,Avellaneda,Buenos Aires,0.7418368974205437,24,46.458333333333336,201.0,2001.0,366117.0,0.7864102172070082,54,0
55,06427,La Matanza,Buenos Aires,0.7378081415253458,22,44.22727272727273,115.0,995.0,1837168.0,0.7543943268160144,55,0
56,14140,San Justo,Córdoba,0.730516568272255,17,46.88235294117647,220.0,1866.0,228951.0,0.2146074314183245,98,-42
57,06588,9 de Julio,Buenos Aires,0.7114132103601765,7,51.285714285714285,6.0,32.0,52366.0,0.7200329441987181,57,0
58,06595,Olavarría,Buenos Aires,0.6964860423936972,15,45.46666666666667,42.0,416.0,122011.0,0.6888784177497715,60,-2
59,06805,Tigre,Buenos Aires,0.6946373798701597,17,45.76470588235294,113.0,1005.0,446291.0,0.7040965212032566,59,0
60,06413,Junín,Buenos Aires,0.6893750361684393,13,56.61538461538461,60.0,460.0,100964.0,0.6848830624922992,61,-1
61,58056,Lácar,Neuquén,0.6851208653433444,11,52.09090909090909,9.0,71.0,39567.0,0.7143373587666563,58,3
62,14021,Colón,Córdoba,0.6232547538858676,24,49.125,117.0,1506.0,294511.0,0.554672501310723,66,-4
63,34014,Formosa,Formosa,0.5977225935252606,17,43.0,335.0,5068.0,268572.0,0.6063073851547917,62,1
64,54042,Eldorado,Misiones,0.5934947581754476,15,52.266666666666666,25.0,267.0,91133.0,0.5944371013689954,65,-1
65,06408,Hurlingham,Buenos Aires,0.5851724743896979,16,51.0625,95.0,1125.0,185361.0,0.6014376810617007,63,2
66,38021,Dr. Manuel Belgrano,Jujuy,0.5556637700781513,17,50.05882352941177,448.0,6204.0,319469.0,0.5958203458392622,64,2
67,30056,Gualeguaychú,Entre Ríos,0.5323219326286542,19,48.73684210526316,80.0,592.0,125176.0,0.5371704662587636,67,0
68,06515,Malvinas Argentinas,Buenos Aires,0.5175614387715922,13,46.61538461538461,34.0,451.0,349401.0,0.5125530762645645,68,0
69,54063,Iguazú,Misiones,0.5111512532043985,18,49.5,22.0,170.0,99838.0,0.5081655503845867,69,0
70,06868,Villa Gesell,Buenos Aires,0.5092840000283232,9,49.22222222222222,17.0,175.0,37325.0,0.5033876292425022,71,-1
71,26021,Escalante,Chubut,0.4916799964299713,17,56.8235294117647,68.0,512.0,214829.0,0.4842583946308447,73,-2
72,06364,General Rodríguez,Buenos Aires,0.4749990265603033,16,54.875,17.0,176.0,142315.0,0.4808128530827046,75,-3
73,06749,San Fernando,Buenos Aires,0.4745908525738461,13,51.46153846153846,42.0,625.0,171099.0,0.5036300362291748,70,3
74,06091,Berazategui,Buenos Aires,0.4726293243146227,17,49.47058823529412,110.0,843.0,358328.0,0.5008394151205915,72,2
75,82070,Las Colonias,Santa Fe,0.4619145772802616,13,46.53846153846154,32.0,347.0,114730.0,0.4839841326845538,74,1
76,14007,Calamuchita,Córdoba,0.4507176238971405,11,53.45454545454545,26.0,214.0,75462.0,0.4379301597713727,76,0
77,90105,Tafí Viejo,Tucumán,0.411233994593723,3,54.66666666666666,7.0,37.0,172877.0,0.4355524823811235,77,0
78,14063,Marcos Juárez,Córdoba,0.4103697997546104,11,48.36363636363637,46.0,274.0,107286.0,0.4072880799475455,79,-1
79,30049,Gualeguay,Entre Ríos,0.4099477943191091,10,58.5,15.0,100.0,56796.0,0.4177578622649236,78,1
80,14049,Ischilín,Córdoba,0.4096035101359639,2,67.0,11.0,58.0,36023.0,0.3777886541881903,80,0
81,06399,Guaminí,Buenos Aires,0.3890873662128799,7,57.85714285714285,2.0,37.0,11662.0,0.3604469134764568,85,-4
82,82042,General López,Santa Fe,0.3784259799022559,13,58.76923076923077,72.0,625.0,200455.0,0.3626530966432183,82,0
83,86049,Capital,Santiago del Estero,0.3767746288188113,5,56.4,2.0,68.0,328824.0,0.3339077654907549,88,-5
84,06098,Berisso,Buenos Aires,0.3750383325739926,10,55.0,22.0,169.0,100685.0,0.3609858781160067,84,0
85,82077,9 de Julio,Santa Fe,0.3629045868265457,6,67.33333333333333,2.0,55.0,30942.0,0.3620849747755021,83,2
86,06644,Pinamar,Buenos Aires,0.3478670682550858,16,55.0,39.0,413.0,39224.0,0.3413122954343949,86,0
87,06028,Almirante Brown,Buenos Aires,0.3464656740130468,15,48.8,65.0,649.0,583209.0,0.3384006338233457,87,0
88,06763,San Nicolás,Buenos Aires,0.3464568928474217,14,55.142857142857146,81.0,759.0,166657.0,0.3725912072371478,81,7
89,06049,Azul,Buenos Aires,0.3368116378950688,13,59.07692307692308,40.0,356.0,75152.0,0.3052863377100651,89,0
90,18168,Santo Tomé,Corrientes,0.3044140839649205,3,62.333333333333336,9.0,52.0,71922.0,0.2823710920915708,90,0
91,82007,Belgrano,Santa Fe,0.2577826907114627,7,69.85714285714286,8.0,29.0,48544.0,0.248907987805615,92,-1
92,06581,Necochea,Buenos Aires,0.2541538493439588,15,55.73333333333333,79.0,862.0,101483.0,0.2587933194837455,91,1
94,06525,Marcos Paz,Buenos Aires,0.2268972039506351,7,68.71428571428571,7.0,19.0,64761.0,0.2218787302837232,96,-2
95,06819,Tornquist,Buenos Aires,0.2263046781999781,9,57.888888888888886,12.0,93.0,14591.0,0.2487201507175236,93,2
96,82133,Vera,Santa Fe,0.2249937164227625,6,60.5,9.0,87.0,55463.0,0.243060972080171,95,1
97,30021,Diamante,Entre Ríos,0.2198675464942902,9,61.44444444444444,6.0,71.0,52312.0,0.2173924028150803,97,0
99,30028,Federación,Entre Ríos,0.2036915769607431,11,61.18181818181818,11.0,75.0,78264.0,0.2083011003016832,99,0
100,38094,Tilcara,Jujuy,0.198053913588258,4,71.0,2.0,15.0,14621.0,0.2044408597721103,101,-1
101,50021,Godoy Cruz,Mendoza,0.1917393243273996,10,56.7,17.0,548.0,194557.0,0.206945336176936,100,1
102,06840,Tres de Febrero,Buenos Aires,0.1749363716806791,14,55.92857142857143,49.0,486.0,362319.0,0.1842087360029849,102,0
103,26042,Gaiman,Chubut,0.1626135463811742,8,61.25,9.0,105.0,12505.0,0.1643312675668603,103,0
104,06280,General Alvarado,Buenos Aires,0.1475325702633199,9,56.888888888888886,17.0,203.0,45307.0,0.1628656752023092,105,-1
105,06147,Carlos Casares,Buenos Aires,0.1352531689163443,9,55.77777777777778,8.0,118.0,22905.0,0.1642682919164726,104,1
106,06119,Brandsen,Buenos Aires,0.1260400313867229,8,65.25,5.0,63.0,32350.0,0.1014527873325817,108,-2
107,06686,Rojas,Buenos Aires,0.1146238391021797,7,62.85714285714285,14.0,82.0,25619.0,0.1043811689760132,107,0
108,06882,Zárate,Buenos Aires,0.1023828127497098,9,51.66666666666666,19.0,168.0,131415.0,0.12767875217164,106,2
109,06371,General San Martín,Buenos Aires,0.080499641936096,11,59.72727272727273,54.0,566.0,444503.0,0.0904576735012087,109,0
110,06560,Moreno,Buenos Aires,0.0760475502665107,12,62.66666666666666,41.0,288.0,575758.0,0.0829532591808048,110,0
